client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,year,last_contact_date
24,37,admin_,married,high_school,0,1,5.0,2,172,1,0,1,93.994,4.857,0,2024,2024-05-02
25,35,technician,married,university_degree,0,0,5.0,28,99,1,0,1,93.994,4.857,0,2024,2024-05-28
26,59,technician,married,unknown,0,1,5.0,30,93,1,0,1,93.994,4.857,0,2024,2024-05-30
27,39,self-employed,married,basic_9y,,0,5.0,16,233,1,0,1,93.994,4.857,0,2024,2024-05-16
28,54,technician,single,university_degree,,0,5.0,1,255,2,0,1,93.994,4.857,0,2024,2024-05-01
29,55,unknown,married,university_degree,,,5.0,22,362,1,0,1,93.994,4.857,0,2024,2024-05-22
30,46,admin_,married,unknown,0,0,5.0,22,348,1,0,1,93.994,4.857,0,2024,2024-05-22
31,59,technician,married,unknown,0,1,5.0,27,386,1,0,1,93.994,4.857,0,2024,2024-05-27
32,49,blue-collar,married,unknown,0,0,5.0,25,73,1,0,1,93.994,4.857,0,2024,2024-05-25
33,54,management,married,basic_4y,,1,5.0,14,230,1,0,1,93.994,4.857,0,2024,2024-05-14
34,54,blue-collar,divorced,basic_4y,0,0,5.0,25,208,1,0,1,93.994,4.857,0,2024,2024-05-25
35,55,unknown,married,basic_4y,,1,5.0,22,336,1,0,1,93.994,4.857,0,2024,2024-05-22
36,34,services,married,high_school,0,0,5.0,11,365,1,0,1,93.994,4.857,0,2024,2024-05-11
37,52,technician,married,basic_9y,0,1,5.0,3,1666,1,0,1,93.994,4.857,0,2024,2024-05-03
38,41,admin_,married,university_degree,0,1,5.0,2,577,1,0,1,93.994,4.857,0,2024,2024-05-02
39,56,technician,married,basic_4y,0,1,5.0,20,137,1,0,1,93.994,4.857,0,2024,2024-05-20
40,58,management,unknown,university_degree,0,1,5.0,5,366,1,0,1,93.994,4.857,0,2024,2024-05-05
41,32,entrepreneur,married,high_school,0,1,5.0,25,314,1,0,1,93.994,4.857,0,2024,2024-05-25
42,38,admin_,single,professional_course,0,0,5.0,22,160,1,0,1,93.994,4.857,0,2024,2024-05-22
43,57,admin_,married,university_degree,0,0,5.0,1,212,1,0,1,93.994,4.857,0,2024,2024-05-01
44,44,admin_,married,university_degree,,1,5.0,17,188,1,0,1,93.994,4.857,0,2024,2024-05-17
45,42,technician,single,professional_course,,0,5.0,28,22,1,0,1,93.994,4.857,0,2024,2024-05-28
46,57,admin_,married,university_degree,0,1,5.0,15,616,1,0,1,93.994,4.857,0,2024,2024-05-15
47,40,blue-collar,married,basic_9y,0,0,5.0,3,178,1,0,1,93.994,4.857,0,2024,2024-05-03
48,35,admin_,married,university_degree,0,1,5.0,26,355,1,0,1,93.994,4.857,0,2024,2024-05-26
49,45,blue-collar,married,basic_9y,0,1,5.0,26,225,2,0,1,93.994,4.857,0,2024,2024-05-26
50,54,admin_,married,high_school,0,0,5.0,3,160,1,0,1,93.994,4.857,0,2024,2024-05-03
51,39,housemaid,married,basic_4y,0,0,5.0,9,266,1,0,1,93.994,4.857,0,2024,2024-05-09
52,60,admin_,married,high_school,0,0,5.0,11,253,1,0,1,93.994,4.857,0,2024,2024-05-11
53,53,admin_,single,professional_course,0,0,5.0,13,179,1,0,1,93.994,4.857,0,2024,2024-05-13
54,55,blue-collar,married,basic_4y,,0,5.0,12,269,2,0,1,93.994,4.857,0,2024,2024-05-12
55,55,technician,married,professional_course,,1,5.0,8,135,1,0,1,93.994,4.857,0,2024,2024-05-08
56,50,management,married,university_degree,,0,5.0,17,161,1,0,1,93.994,4.857,0,2024,2024-05-17
57,45,services,married,high_school,,1,5.0,8,787,1,0,1,93.994,4.857,0,2024,2024-05-08
58,55,unemployed,married,professional_course,,1,5.0,8,145,1,0,1,93.994,4.857,0,2024,2024-05-08
59,25,technician,single,university_degree,0,1,5.0,18,174,1,0,1,93.994,4.857,0,2024,2024-05-18
60,47,entrepreneur,married,university_degree,,0,5.0,3,449,1,0,1,93.994,4.857,0,2024,2024-05-03
61,51,blue-collar,married,basic_9y,0,1,5.0,23,812,1,0,1,93.994,4.857,0,2024,2024-05-23
62,42,blue-collar,married,basic_6y,,1,5.0,27,164,1,0,1,93.994,4.857,0,2024,2024-05-27
63,42,blue-collar,married,basic_6y,,0,5.0,29,366,1,0,1,93.994,4.857,0,2024,2024-05-29
64,48,admin_,married,high_school,0,0,5.0,19,357,1,0,1,93.994,4.857,0,2024,2024-05-19
65,37,admin_,married,university_degree,0,0,5.0,15,232,1,0,1,93.994,4.857,0,2024,2024-05-15
66,44,blue-collar,single,basic_9y,0,1,5.0,16,91,1,0,1,93.994,4.857,0,2024,2024-05-16
67,33,admin_,married,unknown,0,1,5.0,21,273,1,0,1,93.994,4.857,0,2024,2024-05-21
68,56,admin_,married,basic_9y,0,1,5.0,29,158,2,0,1,93.994,4.857,0,2024,2024-05-29
69,44,blue-collar,single,basic_4y,,1,5.0,4,177,1,0,1,93.994,4.857,0,2024,2024-05-04
70,41,management,married,basic_6y,0,0,5.0,28,200,1,0,1,93.994,4.857,0,2024,2024-05-28
71,44,management,divorced,university_degree,0,1,5.0,26,172,1,0,1,93.994,4.857,0,2024,2024-05-26
72,47,admin_,married,university_degree,,1,5.0,18,176,1,0,1,93.994,4.857,0,2024,2024-05-18
73,57,unknown,married,unknown,,0,5.0,14,211,1,0,1,93.994,4.857,0,2024,2024-05-14
74,37,admin_,married,university_degree,,1,5.0,26,214,1,0,1,93.994,4.857,0,2024,2024-05-26
75,41,blue-collar,divorced,basic_4y,,1,5.0,20,1575,1,0,1,93.994,4.857,1,2024,2024-05-20
76,55,technician,married,university_degree,0,0,5.0,16,349,1,0,1,93.994,4.857,0,2024,2024-05-16
77,33,services,married,high_school,,1,5.0,28,337,2,0,1,93.994,4.857,0,2024,2024-05-28
78,55,management,married,unknown,,1,5.0,30,272,1,0,1,93.994,4.857,0,2024,2024-05-30
79,42,blue-collar,married,basic_9y,,0,5.0,21,208,1,0,1,93.994,4.857,0,2024,2024-05-21
80,50,blue-collar,married,basic_4y,,1,5.0,29,193,1,0,1,93.994,4.857,0,2024,2024-05-29
81,51,blue-collar,married,basic_4y,,,5.0,29,212,1,0,1,93.994,4.857,0,2024,2024-05-29
82,38,admin_,married,high_school,,0,5.0,27,165,2,0,1,93.994,4.857,0,2024,2024-05-27
83,49,entrepreneur,married,university_degree,,1,5.0,6,1042,1,0,1,93.994,4.857,1,2024,2024-05-06
84,38,technician,single,university_degree,0,0,5.0,23,20,1,0,1,93.994,4.857,0,2024,2024-05-23
85,31,admin_,divorced,high_school,0,0,5.0,12,246,1,0,1,93.994,4.857,0,2024,2024-05-12
86,41,management,married,basic_6y,0,0,5.0,23,529,2,0,1,93.994,4.857,0,2024,2024-05-23
87,39,admin_,married,university_degree,0,1,5.0,21,192,1,0,1,93.994,4.857,0,2024,2024-05-21
88,49,technician,married,basic_9y,0,0,5.0,19,1467,1,0,1,93.994,4.857,1,2024,2024-05-19
89,34,admin_,married,high_school,0,1,5.0,17,188,2,0,1,93.994,4.857,0,2024,2024-05-17
90,35,admin_,married,university_degree,0,1,5.0,29,180,2,0,1,93.994,4.857,0,2024,2024-05-29
91,57,unknown,married,unknown,,1,5.0,5,48,1,0,1,93.994,4.857,0,2024,2024-05-05
92,60,admin_,married,unknown,,0,5.0,2,213,2,0,1,93.994,4.857,0,2024,2024-05-02
93,33,unemployed,married,basic_9y,0,0,5.0,27,545,1,0,1,93.994,4.857,0,2024,2024-05-27
94,42,blue-collar,married,basic_6y,0,0,5.0,28,583,1,0,1,93.994,4.857,0,2024,2024-05-28
95,45,services,married,professional_course,0,1,5.0,25,221,1,0,1,93.994,4.857,0,2024,2024-05-25
96,42,management,married,university_degree,0,0,5.0,17,426,1,0,1,93.994,4.857,0,2024,2024-05-17
97,53,admin_,divorced,university_degree,,0,5.0,27,287,1,0,1,93.994,4.857,0,2024,2024-05-27
98,37,technician,single,professional_course,0,0,5.0,30,197,1,0,1,93.994,4.857,0,2024,2024-05-30
99,44,blue-collar,married,basic_6y,0,0,5.0,3,257,1,0,1,93.994,4.857,0,2024,2024-05-03
100,54,services,married,unknown,0,1,5.0,25,229,1,0,1,93.994,4.857,0,2024,2024-05-25
101,49,blue-collar,married,basic_4y,0,0,5.0,30,55,3,0,1,93.994,4.857,0,2024,2024-05-30
102,54,services,married,unknown,0,0,5.0,27,400,1,0,1,93.994,4.857,0,2024,2024-05-27
103,52,admin_,divorced,university_degree,0,0,5.0,19,197,1,0,1,93.994,4.857,0,2024,2024-05-19
104,52,admin_,divorced,university_degree,0,0,5.0,24,190,1,0,1,93.994,4.857,0,2024,2024-05-24
105,43,services,single,high_school,,0,5.0,8,21,1,0,1,93.994,4.857,0,2024,2024-05-08
106,34,housemaid,married,basic_6y,0,1,5.0,22,300,2,0,1,93.994,4.857,0,2024,2024-05-22
107,35,admin_,married,high_school,0,1,5.0,9,123,2,0,1,93.994,4.857,0,2024,2024-05-09
108,42,entrepreneur,married,unknown,,1,5.0,15,293,1,0,1,93.994,4.857,0,2024,2024-05-15
109,43,technician,married,unknown,,1,5.0,9,325,1,0,1,93.994,4.857,0,2024,2024-05-09
110,60,retired,divorced,university_degree,,0,5.0,4,514,1,0,1,93.994,4.857,0,2024,2024-05-04
111,58,unemployed,married,basic_4y,,0,5.0,1,849,2,0,1,93.994,4.857,0,2024,2024-05-01
112,35,services,divorced,high_school,0,1,5.0,25,194,1,0,1,93.994,4.857,0,2024,2024-05-25
113,55,blue-collar,married,basic_9y,,1,5.0,4,212,2,0,1,93.994,4.857,0,2024,2024-05-04
114,37,management,married,university_degree,0,0,5.0,6,337,2,0,1,93.994,4.857,0,2024,2024-05-06
115,36,blue-collar,married,high_school,0,0,5.0,20,286,1,0,1,93.994,4.857,0,2024,2024-05-20
116,52,admin_,divorced,university_degree,0,0,5.0,31,247,2,0,1,93.994,4.857,0,2024,2024-05-31
117,57,blue-collar,divorced,unknown,,1,5.0,24,518,1,0,1,93.994,4.857,0,2024,2024-05-24
118,56,admin_,married,unknown,0,1,5.0,6,364,1,0,1,93.994,4.857,0,2024,2024-05-06
119,48,blue-collar,divorced,basic_4y,,1,5.0,26,178,1,0,1,93.994,4.857,0,2024,2024-05-26
120,40,blue-collar,married,high_school,,1,5.0,21,98,1,0,1,93.994,4.857,0,2024,2024-05-21
121,49,blue-collar,divorced,high_school,0,0,5.0,1,439,1,0,1,93.994,4.857,0,2024,2024-05-01
122,41,services,married,high_school,0,0,5.0,18,139,1,0,1,93.994,4.857,0,2024,2024-05-18
123,45,technician,married,high_school,0,1,5.0,9,79,1,0,1,93.994,4.857,0,2024,2024-05-09
124,32,admin_,married,university_degree,0,1,5.0,26,175,1,0,1,93.994,4.857,0,2024,2024-05-26
125,42,admin_,married,university_degree,0,0,5.0,21,262,2,0,1,93.994,4.857,0,2024,2024-05-21
126,50,admin_,married,basic_6y,0,0,5.0,31,61,1,0,1,93.994,4.857,0,2024,2024-05-31
127,31,technician,divorced,professional_course,0,1,5.0,24,78,1,0,1,93.994,4.857,0,2024,2024-05-24
128,56,retired,married,basic_4y,0,1,5.0,23,102,2,0,1,93.994,4.857,0,2024,2024-05-23
129,41,technician,married,professional_course,,1,5.0,12,579,1,0,1,93.994,4.857,1,2024,2024-05-12
130,37,blue-collar,married,basic_6y,0,1,5.0,29,143,1,0,1,93.994,4.857,0,2024,2024-05-29
131,41,technician,married,professional_course,,0,5.0,20,677,1,0,1,93.994,4.857,0,2024,2024-05-20
132,35,blue-collar,married,unknown,0,1,5.0,22,267,1,0,1,93.994,4.857,0,2024,2024-05-22
133,37,blue-collar,married,basic_6y,0,1,5.0,12,345,1,0,1,93.994,4.857,0,2024,2024-05-12
134,52,management,married,university_degree,0,0,5.0,19,185,1,0,1,93.994,4.857,0,2024,2024-05-19
135,39,management,divorced,university_degree,0,0,5.0,5,207,1,0,1,93.994,4.857,0,2024,2024-05-05
136,39,housemaid,married,basic_4y,,0,5.0,26,69,2,0,1,93.994,4.857,0,2024,2024-05-26
137,56,blue-collar,married,basic_4y,,0,5.0,19,100,2,0,1,93.994,4.857,0,2024,2024-05-19
138,34,services,married,high_school,0,1,5.0,28,125,2,0,1,93.994,4.857,0,2024,2024-05-28
139,45,blue-collar,married,basic_9y,,1,5.0,27,461,1,0,1,93.994,4.857,1,2024,2024-05-27
140,43,unemployed,single,university_degree,0,1,5.0,16,240,1,0,1,93.994,4.857,0,2024,2024-05-16
141,56,management,married,unknown,0,1,5.0,22,70,1,0,1,93.994,4.857,0,2024,2024-05-22
142,39,management,married,university_degree,0,1,5.0,24,193,1,0,1,93.994,4.857,0,2024,2024-05-24
143,53,blue-collar,married,basic_4y,0,1,5.0,17,136,1,0,1,93.994,4.857,0,2024,2024-05-17
144,38,unknown,divorced,high_school,,1,5.0,24,73,1,0,1,93.994,4.857,0,2024,2024-05-24
145,42,blue-collar,married,basic_4y,,1,5.0,6,528,1,0,1,93.994,4.857,0,2024,2024-05-06
146,42,blue-collar,married,basic_4y,,0,5.0,11,541,1,0,1,93.994,4.857,0,2024,2024-05-11
147,35,admin_,single,high_school,0,1,5.0,16,338,1,0,1,93.994,4.857,0,2024,2024-05-16
148,40,admin_,married,university_degree,,1,5.0,28,163,1,0,1,93.994,4.857,0,2024,2024-05-28
149,51,blue-collar,married,basic_4y,0,1,5.0,25,87,1,0,1,93.994,4.857,0,2024,2024-05-25
150,60,blue-collar,married,basic_9y,,0,5.0,3,301,1,0,1,93.994,4.857,0,2024,2024-05-03
151,56,entrepreneur,married,unknown,,1,5.0,22,46,1,0,1,93.994,4.857,0,2024,2024-05-22
152,39,services,divorced,high_school,,1,5.0,8,52,1,0,1,93.994,4.857,0,2024,2024-05-08
153,56,entrepreneur,married,unknown,,0,5.0,3,204,1,0,1,93.994,4.857,0,2024,2024-05-03
154,40,blue-collar,married,unknown,0,1,5.0,12,155,1,0,1,93.994,4.857,0,2024,2024-05-12
155,36,blue-collar,married,basic_9y,0,1,5.0,15,98,1,0,1,93.994,4.857,0,2024,2024-05-15
156,51,blue-collar,married,unknown,,1,5.0,25,71,1,0,1,93.994,4.857,0,2024,2024-05-25
157,51,blue-collar,married,unknown,,0,5.0,29,243,1,0,1,93.994,4.857,0,2024,2024-05-29
158,43,technician,single,professional_course,0,1,5.0,7,186,2,0,1,93.994,4.857,0,2024,2024-05-07
159,59,services,married,high_school,0,0,5.0,27,579,2,0,1,93.994,4.857,0,2024,2024-05-27
160,24,management,single,university_degree,0,1,5.0,3,165,2,0,1,93.994,4.857,0,2024,2024-05-03
161,37,blue-collar,single,basic_9y,,1,5.0,9,163,2,0,1,93.994,4.857,0,2024,2024-05-09
162,40,blue-collar,married,basic_9y,,0,5.0,29,46,1,0,1,93.994,4.857,0,2024,2024-05-29
163,42,blue-collar,married,basic_9y,,0,5.0,15,559,3,0,1,93.994,4.857,0,2024,2024-05-15
164,39,services,divorced,high_school,,0,5.0,18,2033,1,0,1,93.994,4.857,0,2024,2024-05-18
165,37,entrepreneur,married,basic_6y,0,0,5.0,22,85,1,0,1,93.994,4.857,0,2024,2024-05-22
166,38,services,married,high_school,0,1,5.0,4,506,1,0,1,93.994,4.857,0,2024,2024-05-04
167,56,admin_,divorced,unknown,,0,5.0,12,114,2,0,1,93.994,4.857,0,2024,2024-05-12
168,40,blue-collar,married,unknown,0,0,5.0,19,114,2,0,1,93.994,4.857,0,2024,2024-05-19
169,54,management,divorced,university_degree,0,1,5.0,25,843,2,0,1,93.994,4.857,0,2024,2024-05-25
170,43,blue-collar,married,high_school,,0,5.0,12,181,1,0,1,93.994,4.857,0,2024,2024-05-12
171,36,services,married,high_school,,0,5.0,5,427,1,0,1,93.994,4.857,0,2024,2024-05-05
172,45,technician,married,university_degree,0,1,5.0,24,292,1,0,1,93.994,4.857,0,2024,2024-05-24
173,42,admin_,single,university_degree,,0,5.0,7,192,1,0,1,93.994,4.857,0,2024,2024-05-07
174,43,services,married,high_school,0,0,5.0,2,93,3,0,1,93.994,4.857,0,2024,2024-05-02
175,46,management,married,basic_9y,0,0,5.0,9,128,2,0,1,93.994,4.857,0,2024,2024-05-09
176,44,services,married,high_school,0,1,5.0,29,107,1,0,1,93.994,4.857,0,2024,2024-05-29
177,51,admin_,single,basic_6y,0,0,5.0,13,303,2,0,1,93.994,4.857,0,2024,2024-05-13
178,28,services,married,high_school,0,1,5.0,11,81,1,0,1,93.994,4.857,0,2024,2024-05-11
179,37,blue-collar,married,basic_9y,0,0,5.0,30,270,1,0,1,93.994,4.857,0,2024,2024-05-30
180,34,technician,married,high_school,0,0,5.0,12,228,1,0,1,93.994,4.857,0,2024,2024-05-12
181,46,blue-collar,married,basic_6y,,1,5.0,31,240,1,0,1,93.994,4.857,0,2024,2024-05-31
182,42,blue-collar,married,basic_9y,0,1,5.0,20,673,2,0,1,93.994,4.857,1,2024,2024-05-20
183,36,admin_,married,university_degree,0,1,5.0,8,233,3,0,1,93.994,4.857,0,2024,2024-05-08
184,54,blue-collar,married,basic_4y,,0,5.0,13,102,1,0,1,93.994,4.857,0,2024,2024-05-13
185,57,management,married,university_degree,0,0,5.0,19,461,1,0,1,93.994,4.857,0,2024,2024-05-19
186,51,technician,married,basic_6y,,0,5.0,20,250,1,0,1,93.994,4.857,0,2024,2024-05-20
187,54,retired,married,high_school,,0,5.0,3,130,1,0,1,93.994,4.857,0,2024,2024-05-03
188,49,blue-collar,married,basic_4y,,0,5.0,18,252,1,0,1,93.994,4.857,0,2024,2024-05-18
189,34,admin_,married,university_degree,0,1,5.0,19,138,1,0,1,93.994,4.857,0,2024,2024-05-19
190,41,technician,married,professional_course,0,0,5.0,10,412,1,0,1,93.994,4.857,0,2024,2024-05-10
191,38,blue-collar,single,basic_9y,0,1,5.0,19,179,2,0,1,93.994,4.857,0,2024,2024-05-19
192,45,management,divorced,university_degree,0,0,5.0,7,19,2,0,1,93.994,4.857,0,2024,2024-05-07
193,42,technician,married,university_degree,0,0,5.0,26,228,2,0,1,93.994,4.857,0,2024,2024-05-26
194,34,blue-collar,single,basic_9y,,1,5.0,31,55,1,0,1,93.994,4.857,0,2024,2024-05-31
195,48,blue-collar,married,basic_4y,0,1,5.0,6,717,1,0,1,93.994,4.857,0,2024,2024-05-06
196,37,admin_,married,high_school,,1,5.0,7,313,1,0,1,93.994,4.857,0,2024,2024-05-07
197,34,blue-collar,single,basic_9y,,0,5.0,29,289,1,0,1,93.994,4.857,0,2024,2024-05-29
198,40,admin_,married,basic_9y,,1,5.0,25,683,2,0,1,93.994,4.857,0,2024,2024-05-25
199,43,blue-collar,married,basic_6y,0,1,5.0,29,1077,1,0,1,93.994,4.857,0,2024,2024-05-29
200,33,services,married,high_school,0,0,5.0,9,146,2,0,1,93.994,4.857,0,2024,2024-05-09
201,32,services,single,basic_6y,0,0,5.0,15,167,1,0,1,93.994,4.857,0,2024,2024-05-15
202,39,blue-collar,married,high_school,0,1,5.0,20,356,2,0,1,93.994,4.857,0,2024,2024-05-20
203,43,admin_,married,unknown,0,0,5.0,13,277,1,0,1,93.994,4.857,0,2024,2024-05-13
204,44,blue-collar,married,basic_9y,0,1,5.0,9,172,1,0,1,93.994,4.857,0,2024,2024-05-09
205,35,student,single,university_degree,,0,5.0,10,218,1,0,1,93.994,4.857,0,2024,2024-05-10
206,35,student,single,university_degree,,1,5.0,4,217,1,0,1,93.994,4.857,0,2024,2024-05-04
207,35,unemployed,married,professional_course,0,0,5.0,26,67,1,0,1,93.994,4.857,0,2024,2024-05-26
208,36,services,single,basic_4y,0,0,5.0,8,291,1,0,1,93.994,4.857,0,2024,2024-05-08
209,35,student,single,university_degree,,1,5.0,24,248,1,0,1,93.994,4.857,0,2024,2024-05-24
210,36,student,single,basic_9y,0,1,5.0,19,256,1,0,1,93.994,4.857,0,2024,2024-05-19
211,55,housemaid,divorced,university_degree,0,0,5.0,25,286,1,0,1,93.994,4.857,0,2024,2024-05-25
212,59,admin_,married,university_degree,0,0,5.0,31,477,1,0,1,93.994,4.857,0,2024,2024-05-31
213,57,retired,married,unknown,,0,5.0,5,611,2,0,1,93.994,4.857,0,2024,2024-05-05
214,39,blue-collar,married,professional_course,,1,5.0,14,471,1,0,1,93.994,4.857,0,2024,2024-05-14
215,39,housemaid,married,basic_4y,,1,5.0,22,381,2,0,1,93.994,4.857,0,2024,2024-05-22
216,30,blue-collar,single,unknown,0,1,5.0,2,251,1,0,1,93.994,4.857,0,2024,2024-05-02
217,30,blue-collar,single,unknown,0,1,5.0,20,408,1,0,1,93.994,4.857,0,2024,2024-05-20
218,50,housemaid,married,basic_4y,,0,5.0,29,287,1,0,1,93.994,4.857,0,2024,2024-05-29
219,40,services,married,high_school,0,0,5.0,9,322,3,0,1,93.994,4.857,0,2024,2024-05-09
220,35,admin_,married,high_school,0,1,5.0,20,216,2,0,1,93.994,4.857,0,2024,2024-05-20
221,43,technician,married,unknown,,0,5.0,26,366,2,0,1,93.994,4.857,0,2024,2024-05-26
222,36,services,single,basic_6y,,1,5.0,26,210,1,0,1,93.994,4.857,0,2024,2024-05-26
223,46,technician,married,basic_4y,,1,5.0,19,288,1,0,1,93.994,4.857,0,2024,2024-05-19
224,40,technician,married,basic_9y,0,0,5.0,15,168,1,0,1,93.994,4.857,0,2024,2024-05-15
225,58,retired,married,university_degree,0,0,5.0,17,132,1,0,1,93.994,4.857,0,2024,2024-05-17
226,42,technician,married,university_degree,0,0,5.0,26,64,2,0,1,93.994,4.857,0,2024,2024-05-26
227,35,admin_,single,university_degree,0,0,5.0,8,209,2,0,1,93.994,4.857,0,2024,2024-05-08
228,43,retired,married,basic_4y,,0,5.0,9,410,3,0,1,93.994,4.857,0,2024,2024-05-09
229,45,blue-collar,married,basic_4y,0,1,5.0,19,177,1,0,1,93.994,4.857,0,2024,2024-05-19
230,39,admin_,married,professional_course,0,1,5.0,6,580,2,0,1,93.994,4.857,0,2024,2024-05-06
231,50,services,divorced,professional_course,0,1,5.0,23,165,1,0,1,93.994,4.857,0,2024,2024-05-23
232,32,management,divorced,basic_4y,,1,5.0,27,127,2,0,1,93.994,4.857,0,2024,2024-05-27
233,39,admin_,married,high_school,,0,5.0,17,357,1,0,1,93.994,4.857,0,2024,2024-05-17
234,52,self-employed,married,university_degree,,0,5.0,10,175,1,0,1,93.994,4.857,0,2024,2024-05-10
235,44,admin_,married,professional_course,0,1,5.0,6,300,1,0,1,93.994,4.857,0,2024,2024-05-06
236,56,blue-collar,married,basic_4y,0,0,5.0,19,136,1,0,1,93.994,4.857,0,2024,2024-05-19
237,48,admin_,married,high_school,0,0,5.0,24,125,2,0,1,93.994,4.857,0,2024,2024-05-24
238,33,services,married,high_school,,0,5.0,4,189,2,0,1,93.994,4.857,0,2024,2024-05-04
239,43,management,married,university_degree,,0,5.0,2,213,3,0,1,93.994,4.857,0,2024,2024-05-02
240,57,retired,married,high_school,0,0,5.0,10,238,2,0,1,93.994,4.857,0,2024,2024-05-10
241,36,technician,single,professional_course,0,0,5.0,4,124,1,0,1,93.994,4.857,0,2024,2024-05-04
242,34,management,married,university_degree,0,1,5.0,2,18,1,0,1,93.994,4.857,0,2024,2024-05-02
243,34,services,single,basic_9y,0,0,5.0,17,730,2,0,1,93.994,4.857,0,2024,2024-05-17
244,30,technician,married,university_degree,,0,5.0,11,40,1,0,1,93.994,4.857,0,2024,2024-05-11
245,33,services,divorced,unknown,0,0,5.0,16,181,2,0,1,93.994,4.857,0,2024,2024-05-16
246,32,technician,single,professional_course,0,0,5.0,20,79,1,0,1,93.994,4.857,0,2024,2024-05-20
247,36,technician,single,high_school,0,1,5.0,6,142,2,0,1,93.994,4.857,0,2024,2024-05-06
248,36,blue-collar,single,high_school,0,0,5.0,10,389,1,0,1,93.994,4.857,0,2024,2024-05-10
249,33,services,single,high_school,0,0,5.0,24,702,1,0,1,93.994,4.857,0,2024,2024-05-24
250,40,technician,divorced,professional_course,0,0,5.0,23,151,1,0,1,93.994,4.857,0,2024,2024-05-23
251,41,blue-collar,married,basic_4y,0,1,5.0,7,211,1,0,1,93.994,4.857,0,2024,2024-05-07
252,51,services,married,basic_6y,0,1,5.0,26,117,1,0,1,93.994,4.857,0,2024,2024-05-26
253,36,technician,married,professional_course,0,1,5.0,24,232,3,0,1,93.994,4.857,0,2024,2024-05-24
254,28,services,married,unknown,0,0,5.0,8,408,2,0,1,93.994,4.857,0,2024,2024-05-08
255,53,services,married,high_school,0,1,5.0,15,370,3,0,1,93.994,4.857,0,2024,2024-05-15
256,58,blue-collar,married,basic_9y,,1,5.0,6,179,2,0,1,93.994,4.857,0,2024,2024-05-06
257,45,management,married,basic_9y,0,0,5.0,1,46,1,0,1,93.994,4.857,0,2024,2024-05-01
258,43,technician,married,unknown,0,1,5.0,22,200,1,0,1,93.994,4.857,0,2024,2024-05-22
259,33,admin_,married,high_school,0,0,5.0,4,50,1,0,1,93.994,4.857,0,2024,2024-05-04
260,33,admin_,married,high_school,0,0,5.0,7,181,1,0,1,93.994,4.857,0,2024,2024-05-07
